desc,file_id_full,file_id_thumb,medium,title,year
"Arm of the Seine near Giverny
Claude Oscar Monet  (1897)Museum of Fine Arts - BostonPainting - oil on canvasUploaded Monday, 20 January 2003 by member rocsdadPublic domain",7510,7509,oil,Arm of the Seine near Giverny,1897
"Arm of the Seine near Giverny
Claude Oscar Monet  (1896)Museum of Fine Arts - BostonPainting - oil on canvasUploaded Sunday, 19 January 2003 by member rocsdadPublic domain",7416,7415,oil,Arm of the Seine near Giverny,1896
"Arm of the Seine near Giverny at Sunrise
Claude Oscar Monet  (1897)Hiroshima Museum of ArtPainting - oil on canvasUploaded Monday, 20 January 2003 by member rocsdadPublic domain",7506,7505,oil,Arm of the Seine near Giverny at Sunrise,1897
"Arm of the Seine near Giverny in the Fog
Claude Oscar Monet  (1897)Private collectionPainting - oil on canvasUploaded Sunday, 19 January 2003 by member rocsdadPublic domain",7502,7501,oil,Arm of the Seine near Giverny in the Fog,1897
"Arm of the Seine near Vetheuil
Claude Oscar Monet  (1878)Private collectionPainting - oil on canvasUploaded Sunday, 12 January 2003 by member rocsdadPublic domain",6427,6426,oil,Arm of the Seine near Vetheuil,1878
"Arrival at Saint-Lazare Station
Claude Oscar Monet  (1876)Fogg Museum of Art - Harvard UniversityPainting - oil on canvasUploaded Sunday, 12 January 2003 by member rocsdadPublic domain",6381,6380,oil,Arrival at Saint-Lazare Station,1876
"Arrival of the Normandy Train, Gare Saint-Lazare
Claude Oscar Monet  (1877)Art Institute of ChicagoPainting - oil on canvasUploaded Sunday, 12 January 2003 by member rocsdadPublic domain",6383,6382,oil,"Arrival of the Normandy Train, Gare Saint-Lazare",1877
"The Artist's Family in the Garden
Claude Oscar Monet  (1875)Private collectionPainting - oil on canvasUploaded Sunday, 12 January 2003 by member rocsdadPublic domain",24668,24667,oil,The Artist's Family in the Garden,1875
"The Artist's Garden at Vetheuil
Claude Oscar Monet  (1881)Private collectionPainting - oil on canvasUploaded Tuesday, 14 January 2003 by member rocsdadPublic domain",6599,6598,oil,The Artist's Garden at Vetheuil,1881
"The Artist's House at Argenteuil
Claude Oscar Monet  (1873)Art Institute of ChicagoPainting - oil on canvasUploaded Saturday, 11 January 2003 by member rocsdadPublic domain",6237,6236,oil,The Artist's House at Argenteuil,1873
"The Artist's House at Giverny
Claude Oscar Monet  (1913)Private collectionPainting - oil on canvasUploaded Thursday, 23 January 2003 by member rocsdadPublic domain",329893,329892,oil,The Artist's House at Giverny,1913
"The Artist's House Seen from the Rose Garden
Claude Oscar Monet  (1922-1924)Mus̩e Marmottan MonetPainting - oil on canvasUploaded Saturday, 25 January 2003 by member rocsdadPublic domain",8138,8137,oil,The Artist's House Seen from the Rose Garden,1922-1924
"The Artist's House, View from the Rose Garden
Claude Oscar Monet  (1922-1924)Mus̩e Marmottan MonetPainting - oil on canvasUploaded Saturday, 25 January 2003 by member rocsdadPublic domain",8140,8139,oil,"The Artist's House, View from the Rose Garden",1922-1924
"Asters
Claude Oscar Monet  (1880)Private collectionPainting - oil on canvasUploaded Monday, 13 January 2003 by member rocsdadPublic domain",6551,6550,oil,Asters,1880
"At Cap d'Antibes
Claude Oscar Monet  (1888)Private collectionPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",7136,7135,oil,At Cap d'Antibes,1888
"At Cap d'Antibes, Mistral Wind
Claude Oscar Monet  (1888)Museum of Fine Arts - BostonPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",7108,7107,oil,"At Cap d'Antibes, Mistral Wind",1888
"At Les Petit-Dalles
Claude Oscar Monet  (1884)Private collectionPainting - oil on canvasUploaded Saturday, 18 January 2003 by member rocsdadPublic domain",6869,6868,oil,At Les Petit-Dalles,1884
